16:43:49.193	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PUT] http://localhost:8080/webdav/BRjx_main/.DS_Store
16:43:49.318	0:0:0:0:0:0:0:1:57250	admin	200		125.24 ms
16:43:49.323	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/BRjx_main/._.DS_Store
16:43:49.332	0:0:0:0:0:0:0:1:57250	admin	200		9.98 ms
16:43:49.335	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[LOCK] http://localhost:8080/webdav/BRjx_main/.DS_Store
16:43:49.405	0:0:0:0:0:0:0:1:57250	admin	200		70.0 ms
16:43:49.411	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/BRjx_main/.DS_Store
16:43:49.425	0:0:0:0:0:0:0:1:57250	admin	200		13.9 ms
16:43:49.431	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/.DS_Store
16:43:49.433	0:0:0:0:0:0:0:1:57250	admin	200		1.85 ms
16:43:49.439	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/.DS_Store
16:43:49.441	0:0:0:0:0:0:0:1:57250	admin	200		2.3 ms
16:43:49.453	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PUT] http://localhost:8080/webdav/.DS_Store
16:43:49.495	0:0:0:0:0:0:0:1:57250	admin	200		41.89 ms
16:43:49.520	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._.DS_Store
16:43:49.523	0:0:0:0:0:0:0:1:57250	admin	200		2.54 ms
16:43:49.530	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[LOCK] http://localhost:8080/webdav/.DS_Store
16:43:49.591	0:0:0:0:0:0:0:1:57250	admin	200		61.65 ms
16:43:49.617	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/.DS_Store
16:43:49.620	0:0:0:0:0:0:0:1:57250	admin	200		2.84 ms
16:43:49.904	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._BRjx_main
16:43:49.906	0:0:0:0:0:0:0:1:57250	admin	200		2.59 ms
16:43:49.913	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/BRjx_main/
16:43:49.937	0:0:0:0:0:0:0:1:57250	admin	200		24.14 ms
16:43:49.945	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/BRjx_main/._etc
16:43:49.953	0:0:0:0:0:0:0:1:57250	admin	200		7.9 ms
16:43:49.964	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/BRjx_main/._var
16:43:49.971	0:0:0:0:0:0:0:1:57250	admin	200		7.55 ms
16:43:49.979	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/BRjx_main/._bin
16:43:49.986	0:0:0:0:0:0:0:1:57250	admin	200		7.02 ms
16:43:49.988	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/BRjx_main/._.DS_Store
16:43:49.994	0:0:0:0:0:0:0:1:57250	admin	200		6.66 ms
16:43:50.020	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._.
16:43:50.022	0:0:0:0:0:0:0:1:57250	admin	200		1.94 ms
16:43:50.029	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/
16:43:50.050	0:0:0:0:0:0:0:1:57250	admin	200		21.21 ms
16:43:50.105	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._1384225410
16:43:50.109	0:0:0:0:0:0:0:1:57250	admin	200		3.85 ms
16:43:50.134	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._1423473823
16:43:50.135	0:0:0:0:0:0:0:1:57250	admin	200		1.95 ms
16:43:50.162	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._1685008080
16:43:50.164	0:0:0:0:0:0:0:1:57250	admin	200		2.26 ms
16:43:50.173	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._1859936405
16:43:50.175	0:0:0:0:0:0:0:1:57250	admin	200		1.81 ms
16:43:50.191	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._268884640
16:43:50.193	0:0:0:0:0:0:0:1:57250	admin	200		2.0 ms
16:43:50.205	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._84788813
16:43:50.207	0:0:0:0:0:0:0:1:57250	admin	200		2.07 ms
16:43:50.224	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._BRjx_conf
16:43:50.227	0:0:0:0:0:0:0:1:57250	admin	200		3.33 ms
16:43:50.235	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._BRjx_tables
16:43:50.237	0:0:0:0:0:0:0:1:57250	admin	200		2.02 ms
16:43:50.243	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._compare
16:43:50.245	0:0:0:0:0:0:0:1:57250	admin	200		1.7 ms
16:43:50.248	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._template_main
16:43:50.250	0:0:0:0:0:0:0:1:57250	admin	200		1.85 ms
16:43:50.280	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/BRjx_main/etc/
16:43:50.298	0:0:0:0:0:0:0:1:57250	admin	200		18.27 ms
16:43:50.309	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/BRjx_main/etc/._conf
16:43:50.316	0:0:0:0:0:0:0:1:57250	admin	200		7.68 ms
16:43:50.328	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/BRjx_main/etc/._init
16:43:50.336	0:0:0:0:0:0:0:1:57250	admin	200		8.56 ms
16:43:50.348	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._.
16:43:50.350	0:0:0:0:0:0:0:1:57250	admin	200		1.89 ms
16:43:50.361	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/BRjx_main/etc/.DS_Store
16:43:50.369	0:0:0:0:0:0:0:1:57250	admin	200		8.11 ms
16:43:50.370	0:0:0:0:0:0:0:1:57251	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/.DS_Store
16:43:50.372	0:0:0:0:0:0:0:1:57251	admin	200		2.13 ms
16:43:51.034	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._1384225410
16:43:51.036	0:0:0:0:0:0:0:1:57250	admin	200		1.92 ms
