07:26:27.041	SERVER	admin	OK	Server wurde gestartet (Port: 1984).
20:54:40.642	127.0.0.1:63774	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("[object Object]/basex/connection/index.js")	0.14 ms
20:54:40.663	127.0.0.1:63774	admin	OK	EXEC[0]	18.03 ms
20:54:40.738	127.0.0.1:63775	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("[object Object]/basex/connection/index.json")	0.12 ms
20:54:40.769	127.0.0.1:63775	admin	OK	EXEC[0]	18.68 ms
20:54:40.829	127.0.0.1:63776	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("[object Object]/basex/connection/index.class")	0.12 ms
20:54:40.849	127.0.0.1:63776	admin	OK	EXEC[0]	16.55 ms
20:54:40.932	127.0.0.1:63777	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("[object Object]/basex/connection")	0.12 ms
20:54:40.951	127.0.0.1:63777	admin	OK	EXEC[0]	16.13 ms
20:56:34.348	SERVER	admin	OK	Server wurde gestoppt (Port: 1984).
20:56:39.300	SERVER	admin	OK	Server wurde gestartet (Port: 1984).
20:56:40.070	127.0.0.1:63779	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isRepository("/BRjx_main/bin/modules.xml/")	5.19 ms
20:56:40.853	127.0.0.1:63779	admin	OK	EXEC[0]	775.33 ms
20:56:42.964	127.0.0.1:63780	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js.js")	0.89 ms
20:56:43.011	127.0.0.1:63780	admin	OK	EXEC[0]	40.44 ms
20:56:43.080	127.0.0.1:63781	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js.json")	0.17 ms
20:56:43.124	127.0.0.1:63781	admin	OK	EXEC[0]	36.28 ms
