21:16:59.087	127.0.0.1:59303	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getContent("/BRjx_main/bin/modules.xml/BRjx.js")	0.14 ms
21:16:59.110	127.0.0.1:59303	admin	REQUEST	EXEC[0]	18.41 ms
21:16:59.110	127.0.0.1:59303	admin	ERROR	Gestoppt in ., 5/16: [XPST0017] Q{http://brjx.stocker-schmid.ch}...: 1 argument supplied, 2 expected.	0.19 ms
21:16:59.273	127.0.0.1:59304	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getLastModified("/BRjx_main/bin/modules.xml/")	0.15 ms
21:16:59.333	127.0.0.1:59304	admin	OK	EXEC[0]	55.64 ms
21:30:30.499	SERVER	admin	OK	Server wurde gestoppt (Port: 1984).
21:30:45.641	SERVER	admin	OK	Server wurde gestartet (Port: 1984).
21:30:46.663	127.0.0.1:59383	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isRepository("/BRjx_main/bin/modules.xml/")	6.15 ms
21:30:47.560	127.0.0.1:59383	admin	OK	EXEC[0]	888.26 ms
21:30:48.793	127.0.0.1:59384	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js.js")	0.19 ms
21:30:48.834	127.0.0.1:59384	admin	OK	EXEC[0]	35.5 ms
21:30:48.972	127.0.0.1:59385	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js.json")	0.16 ms
21:30:49.013	127.0.0.1:59385	admin	OK	EXEC[0]	29.27 ms
21:30:49.131	127.0.0.1:59386	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js.class")	0.16 ms
21:30:49.176	127.0.0.1:59386	admin	OK	EXEC[0]	32.05 ms
21:30:49.294	127.0.0.1:59387	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js/package.json")	0.15 ms
21:30:49.332	127.0.0.1:59387	admin	OK	EXEC[0]	33.23 ms
21:30:49.443	127.0.0.1:59388	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js/index.js")	0.17 ms
21:30:49.474	127.0.0.1:59388	admin	OK	EXEC[0]	25.99 ms
21:30:49.543	127.0.0.1:59389	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js/index.json")	0.16 ms
21:30:49.572	127.0.0.1:59389	admin	OK	EXEC[0]	24.37 ms
21:30:49.657	127.0.0.1:59390	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js/index.class")	0.16 ms
21:30:49.693	127.0.0.1:59390	admin	OK	EXEC[0]	33.95 ms
21:30:49.791	127.0.0.1:59391	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js")	0.15 ms
21:30:49.819	127.0.0.1:59391	admin	OK	EXEC[0]	23.86 ms
21:30:49.927	127.0.0.1:59392	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js")	0.15 ms
21:30:49.953	127.0.0.1:59392	admin	OK	EXEC[0]	22.83 ms
21:30:50.043	127.0.0.1:59393	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js")	0.15 ms
21:30:50.068	127.0.0.1:59393	admin	OK	EXEC[0]	21.34 ms
21:30:50.121	127.0.0.1:59394	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getContent("/BRjx_main/bin/modules.xml/BRjx.js")	0.16 ms
21:30:50.175	127.0.0.1:59394	admin	OK	EXEC[0]	42.53 ms
21:30:50.278	127.0.0.1:59395	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getLastModified("/BRjx_main/bin/modules.xml/")	0.15 ms
21:30:50.321	127.0.0.1:59395	admin	OK	EXEC[0]	38.76 ms
21:30:50.445	127.0.0.1:59396	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getParentRepository("/BRjx_main/bin/modules.xml/")	1.85 ms
21:30:50.471	127.0.0.1:59396	admin	REQUEST	EXEC[0]	22.69 ms
21:30:50.472	127.0.0.1:59396	admin	ERROR	Gestoppt in ., 5/25: [XPST0017] Unknown function: Q{http://brjx.stocker-schmid.ch}getParentRepository.	0.19 ms
21:30:50.638	127.0.0.1:59397	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("[object Object]/basex/connection.js")	0.16 ms
21:30:50.661	127.0.0.1:59397	admin	OK	EXEC[0]	19.7 ms
21:30:50.758	127.0.0.1:59398	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("[object Object]/basex/connection.json")	0.15 ms
21:30:50.783	127.0.0.1:59398	admin	OK	EXEC[0]	21.23 ms
21:30:50.904	127.0.0.1:59399	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("[object Object]/basex/connection.class")	0.15 ms
21:30:50.933	127.0.0.1:59399	admin	OK	EXEC[0]	25.61 ms
21:30:51.028	127.0.0.1:59400	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("[object Object]/basex/package.json")	0.14 ms
21:30:51.050	127.0.0.1:59400	admin	OK	EXEC[0]	18.54 ms
21:30:51.153	127.0.0.1:59401	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("[object Object]/basex/connection/package.json")	0.16 ms
21:30:51.174	127.0.0.1:59401	admin	OK	EXEC[0]	18.11 ms
21:30:51.296	127.0.0.1:59402	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("[object Object]/basex/connection/index.js")	0.15 ms
21:30:51.351	127.0.0.1:59402	admin	OK	EXEC[0]	50.91 ms
21:30:51.540	127.0.0.1:59403	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("[object Object]/basex/connection/index.json")	0.22 ms
21:30:51.564	127.0.0.1:59403	admin	OK	EXEC[0]	20.89 ms
21:30:51.750	127.0.0.1:59404	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("[object Object]/basex/connection/index.class")	0.13 ms
21:30:51.774	127.0.0.1:59404	admin	OK	EXEC[0]	20.54 ms
21:30:51.909	127.0.0.1:59405	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("[object Object]/basex/basex")	0.59 ms
21:30:51.937	127.0.0.1:59405	admin	OK	EXEC[0]	20.37 ms
21:31:08.398	127.0.0.1:59408	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/TEST.js.js")	0.15 ms
21:31:08.420	127.0.0.1:59408	admin	OK	EXEC[0]	19.38 ms
